ship_type,ship_name,lon,lat,p_lon,p_lat,datetime,distance
Cargo,SERDOLIK,30.18579,59.88634,30.19779,59.88756,2016-12-16T08:37:03Z,683.8201432039616
Tug,SANKT-PETERBURG,30.03653,59.91441,30.05802,59.91012,2016-12-15T17:53:04Z,1290.884209993724
Cargo,NOVAYA ZEMLYA,30.06114,59.90933,30.08493,59.90448,2016-12-15T10:35:04Z,1433.4330933470612
Tanker,GAZPROMNEFT EAST,30.21617,59.89205,30.00011,59.92205,2016-12-14T10:09:03Z,12513.476586005107
Tanker,FREYA,30.22832,59.91383,30.22215,59.86783,2016-12-13T19:45:03Z,5132.275361486544
Cargo,MODULUS 2,30.01613,59.91857,30.21377,59.87159,2016-12-14T10:09:03Z,12211.962142607485
Tug,NEVSKAYA ZASTAVA,30.40012,59.95117,30.49612,59.85715,2016-12-14T10:09:04Z,11758.372868371083
Tug,ARKTUR,30.13002,59.89547,30.16287,59.88879,2016-12-16T23:01:03Z,1979.3731924578776
Unspecified,SPK-25,30.26436,59.95652,30.26442,59.95633,2016-12-19T11:15:03Z,21.413417980974284
Tanker,LOYA,30.20723,59.88932,30.22295,59.87709,2016-12-20T09:31:04Z,1620.0304554752854
Tanker,FLANDRIYA,30.22867,59.8945,30.22617,59.91017,2016-12-14T10:09:03Z,1749.9503096004107
Passenger,DUNAEVSKIY,30.49589,59.85643,30.49599,59.85643,2016-12-19T11:19:05Z,5.590114035482064
Tanker,ALANA,30.22255,59.90757,30.22815,59.88128,2016-12-14T10:09:03Z,2943.2464860675445
Tanker,GAZPROMNEFT NORDWEST,30.0378,59.91409,30.05975,59.90962,2016-12-13T18:51:03Z,1322.192551861135
Tug,DMITRY SIROTKIN,30.00703,59.92026,30.23853,59.91247,2016-12-14T13:31:03Z,12946.862577968503
Tanker,PEGAS,30.20546,59.88995,30.18645,59.88622,2016-12-19T10:33:03Z,1139.9785522644497
Passenger,VIKING HELGI,30.23092,59.91043,30.23084,59.91055,2016-12-18T23:31:03Z,14.0847386079861
Passenger,VIKING INGVAR,30.22502,59.91079,30.22489,59.91083,2016-12-19T09:21:04Z,8.512705208035095
Tanker,SESKAR,30.19122,59.88652,30.20475,59.88647,2016-12-19T22:53:03Z,755.6793698945123
Tanker,DMITRIY RULEVSKIY,30.22765,59.91161,30.21156,59.8701,2016-12-14T10:09:03Z,4707.419022601857
Tanker,NEVA LUX,30.20815,59.8893,30.2171,59.86999,2016-12-14T10:09:03Z,2206.9566161694656
Tanker,VELTA,30.07009,59.90751,30.08873,59.90387,2016-12-16T09:53:03Z,1116.5725417595584
Tug,BALTIETS,30.23581,59.91512,30.25018,59.91619,2016-12-19T09:51:03Z,810.6673730268391
Tanker,NARVA,30.23755,59.877,30.23727,59.87667,2016-12-19T02:51:04Z,39.92726657816878
Tanker,SBORSHCHIK-3,30.19505,59.88759,30.1843,59.88607,2016-12-17T18:39:05Z,623.7759320393136
Cargo,PL 2,30.26248,59.91596,30.26153,59.91915,2016-12-19T10:49:03Z,359.0437668062675
Tug,SPK-1DMAG,30.25528,59.91902,30.25721,59.91835,2016-12-19T09:15:03Z,130.99361995063606
Tug,GIBRALTAR,30.22643,59.90993,30.22641,59.91009,2016-12-18T01:29:03Z,17.846061033729757
Tanker,ECOMAR,30.22455,59.88159,30.21862,59.8883,2016-12-13T23:57:08Z,817.0922613745124
Tug,MOSCHNIY,30.22437,59.90925,30.22439,59.90916,2016-12-16T17:35:03Z,10.08074634246913
Tug,MERKURIY,30.18715,59.88179,30.21037,59.89271,2016-12-14T22:57:03Z,1777.484693795038
Tug,MUSON,30.03675,59.91447,30.05698,59.91033,2016-12-15T08:01:12Z,1219.419444238896
Tanker,DON,30.20775,59.89125,30.21363,59.89533,2016-12-17T13:43:04Z,560.433944619831
Tug,URAN,30.24434,59.91293,30.24447,59.91312,2016-12-15T15:35:04Z,22.360324853084794
Tug,KARU,30.01164,59.91943,30.2402,59.91271,2016-12-14T15:21:03Z,12775.768407226436
Tug,KAPITAN ZARUBIN,30.00488,59.92069,30.24026,59.91253,2016-12-15T04:25:04Z,13165.570541007985
Tanker,SEVERYANKA,30.22445,59.90923,30.22433,59.90929,2016-12-17T22:29:04Z,9.458730158020039
Tug,PROFESSOR LOGACHEV,30.21803,59.90701,30.2182,59.90714,2016-12-19T12:17:03Z,17.304946847171195
Tug,AKADEMIK KARPINSKIY,30.11263,59.89908,30.12897,59.89577,2016-12-15T19:25:03Z,983.899206600287
Tug,BGK-326 RIF,30.24543,59.91182,30.24557,59.91169,2016-12-13T21:05:04Z,16.445986874999992
Tanker,ELAND,30.23861,59.8776,30.23881,59.87735,2016-12-14T21:13:04Z,29.98901831292686
Tanker,GOGLAND,30.2358,59.89231,30.22294,59.87645,2016-12-14T10:09:03Z,1906.0479685135551
Tug,BOGATYR 4,30.23317,59.90816,30.23533,59.91067,2016-12-16T15:15:03Z,304.30957657298717
Tanker,KAP.PONIKAROVSKIY,30.01179,59.9195,30.03067,59.91555,2016-12-15T21:37:03Z,1141.55859319273
Tug,MUDYUG,30.22003,59.90029,30.28848,59.9334,2016-12-14T10:09:03Z,5307.869563027908
Fishing,ALBATROSS,30.21742,59.86845,30.21739,59.86836,2016-12-20T04:01:10Z,10.158043838786964
Cargo,PAULINE RUSS,30.02117,59.9175,30.0425,59.913,2016-12-13T22:17:03Z,1291.3806249597765
Cargo,VIDFOSS,30.03802,59.9142,30.05993,59.90969,2016-12-15T10:09:03Z,1321.8063850104527
Cargo,AUTUMN WAVE,30.06578,59.90859,30.08308,59.9051,2016-12-19T09:33:03Z,1040.8485831229218
Cargo,MILAN EXPRESS,18.99783,54.799,30.00013,59.92189,2016-12-17T00:51:02Z,870758.4003184583
Cargo,DURBAN STAR,30.03153,59.9155,30.04652,59.91245,2016-12-16T22:43:04Z,902.7862985722008
Cargo,CITY OF ROTTERDAM,30.05716,59.91029,30.08229,59.90517,2016-12-13T21:37:04Z,1514.0072451849387
Cargo,BALTIC PRIME,30.22779,59.90623,30.23448,59.91137,2016-12-18T15:51:03Z,683.2367146712088
Cargo,PORT ALFRED,30.22679,59.89599,30.22709,59.89608,2016-12-14T00:33:03Z,19.517953518860146
Cargo,ICE RIVER,30.21973,59.86925,30.22008,59.86879,2016-12-13T21:01:04Z,54.81485668433575
Cargo,ZENIT,30.01639,59.9185,30.04125,59.91341,2016-12-19T10:49:03Z,1498.4726363457119
Cargo,PACIFIC WINTER,30.21968,59.89337,30.21974,59.89372,2016-12-16T20:51:04Z,39.10560371415133
